municipality_name,municipality_code,population_2023
Eisenstadt,10101,15729
Rust,10201,1964
Breitenbrunn am Neusiedler See,10301,1932
Donnerskirchen,10302,1844
Grosshoeflein,10303,2091
Hornstein,10304,3270
Klingenbach,10305,1280
Leithaprodersdorf,10306,1217
Moerbisch am See,10307,2218
Muellendorf,10308,1469
Neufeld an der Leitha,10309,3642
Oggau am Neusiedler See,10310,1710
Oslip,10311,1312
Purbach am Neusiedler See,10312,2984
Sankt Margarethen im Burgenland,10313,2734
Schuetzen am Gebirge,10314,1442
Siegendorf,10315,3248
Steinbrunn,10316,3069
Trausdorf an der Wulka,10317,2139
Wimpassing an der Leitha,10318,1734
Wulkaprodersdorf,10319,1952
Loretto,10320,516
Stotzing,10321,832
Zillingtal,10322,1005
Zagersdorf,10323,1147
Bocksdorf,10401,811
Burgauberg-Neudauberg,10402,1469
Eberau,10403,917
Gerersdorf-Sulz,10404,1033
Guessing,10405,3610
Guettenbach,10406,872
Heiligenbrunn,10407,741
Kukmirn,10408,2004
Neuberg im Burgenland,10409,960
Neustift bei Guessing,10410,446
Olbendorf,10411,1490
Ollersdorf im Burgenland,10412,944
Sankt Michael im Burgenland,10413,1010
Stegersbach,10414,2744
Stinatz,10415,1275
Strem,10416,921
Tobaj,10417,1388
Hackerberg,10418,373
Woerterberg,10419,534
Grossmuerbisch,10420,226
Inzenhof,10421,331
Kleinmuerbisch,10422,230
Tschanigraben,10423,68
Heugraben,10424,222
Rohr im Burgenland,10425,365
Bildein,10426,338
Rauchwart,10427,464
Moschendorf,10428,379
Deutsch Kaltenbrunn,10501,1743
Eltendorf,10502,922
Heiligenkreuz im Lafnitztal,10503,1283
Jennersdorf,10504,4143
Minihof-Liebau,10505,1041
Mogersdorf,10506,1171
Neuhaus am Klausenbach,10507,931
Rudersdorf,10508,2208
Sankt Martin an der Raab,10509,1962
Weichselbaum,10510,714
Koenigsdorf,10511,770
Muehlgraben,10512,385
Drassburg,10601,1230
Forchtenstein,10602,2777
Hirm,10603,1061
Loipersbach im Burgenland,10604,1205
Marz,10605,2080
Mattersburg,10606,7514
Neudoerfl,10607,4921
Poettelsdorf,10608,754
Poettsching,10609,3096
Rohrbach bei Mattersburg,10610,2641
Bad Sauerbrunn,10611,2311
Schattendorf,10612,2406
Sieggraben,10613,1255
Sigless,10614,1182
Wiesen,10615,2770
Antau,10616,806
Baumgarten,10617,919
Zemendorf-Stoettera,10618,1283
Krensdorf,10619,640
Andau,10701,2300
Apetlon,10702,1754
Bruckneudorf,10703,3085
Deutsch Jahrndorf,10704,645
Frauenkirchen,10705,2932
Gattendorf,10706,1469
Gols,10707,4011
Halbturn,10708,1914
Illmitz,10709,2365
Jois,10710,1631
Kittsee,10711,3630
Moenchhof,10712,2189
Neusiedl am See,10713,8917
Nickelsdorf,10714,1855
Pama,10715,1282
Pamhagen,10716,1518
Parndorf,10717,5326
Podersdorf am See,10718,2193
Sankt Andrae am Zicksee,10719,1386
Tadten,10720,1191
Wallern im Burgenland,10721,1645
Weiden am See,10722,2614
Winden am See,10723,1394
Zurndorf,10724,2279
Neudorf,10725,787
Potzneusiedl,10726,652
Edelstal,10727,804
Deutschkreutz,10801,3180
Drassmarkt,10802,1371
Frankenau-Unterpullendorf,10803,1090
Grosswarasdorf,10804,1364
Horitschon,10805,1821
Kaisersdorf,10806,599
Kobersdorf,10807,1893
Lackenbach,10808,1160
Lockenhaus,10809,2068
Lutzmannsburg,10810,825
Mannersdorf an der Rabnitz,10811,1761
Markt Sankt Martin,10812,1259
Neckenmarkt,10813,1660
Neutal,10814,1130
Nikitsch,10815,1427
Oberpullendorf,10816,3286
Pilgersdorf,10817,1595
Piringsdorf,10818,832
Raiding,10819,895
Ritzing,10820,922
Steinberg-Doerfl,10821,1299
Stoob,10822,1350
Weppersdorf,10823,1894
Lackendorf,10824,606
Unterfrauenhaid,10825,652
Unterrabnitz-Schwendgraben,10826,640
Weingraben,10827,358
Oberloisdorf,10828,806
Bad Tatzmannsdorf,10901,1647
Bernstein,10902,2141
Deutsch Schuetzen-Eisenberg,10903,1071
Grafenschachen,10904,1221
Grosspetersdorf,10905,3612
Hannersdorf,10906,744
Kemeten,10907,1549
Kohfidisch,10908,1437
Litzelsdorf,10909,1151
Loipersdorf-Kitzladen,10910,1366
Mariasdorf,10911,1155
Markt Allhau,10912,1907
Markt Neuhodis,10913,671
Mischendorf,10914,1484
Oberdorf im Burgenland,10915,1000
Oberschuetzen,10916,2471
Oberwart,10917,7998
Pinkafeld,10918,5939
Rechnitz,10919,2997
Riedlingsdorf,10920,1656
Rotenturm an der Pinka,10921,1455
Schachendorf,10922,750
Stadtschlaining,10923,1965
Unterkohlstaetten,10924,977
Unterwart,10925,973
Weiden bei Rechnitz,10926,821
Wiesfleck,10927,1187
Wolfau,10928,1516
Neustift an der Lafnitz,10929,810
Jabing,10930,732
Badersdorf,10931,288
Schandorf,10932,279
Klagenfurt am Woerthersee,20101,104332
Villach,20201,65135
Dellach,20302,1195
Hermagor-Pressegger See,20305,6951
Kirchbach,20306,2492
Koetschach-Mauthen,20307,3340
St. Stefan im Gailtal,20316,1575
Gitschtal,20320,1234
Lesachtal,20321,1264
Ebenthal in Kaernten,20402,8140
Feistritz im Rosental,20403,2539
Ferlach,20405,7340
Grafenstein,20409,3069
Keutschach am See,20412,2440
Koettmannsdorf,20414,3136
Krumpendorf am Woerthersee,20415,3488
Ludmannsdorf,20416,1798
Maria Rain,20417,2683
Maria Saal,20418,4011
Maria Woerth,20419,1626
Moosburg,20421,4550
Poertschach am Woerther See,20424,2937
Poggersdorf,20425,3277
St. Margareten im Rosental,20428,1089
Schiefling am Woerthersee,20432,2706
Techelsberg am Woerther See,20435,2274
Zell,20441,583
Magdalensberg,20442,3655
Althofen,20501,4826
Brueckl,20502,2735
Deutsch-Griffen,20503,851
Eberstein,20504,1218
Friesach,20505,4901
Gloednitz,20506,828
Gurk,20508,1187
Guttaring,20509,1504
Huettenberg,20511,1291
Kappel am Krappfeld,20512,1964
Klein St. Paul,20513,1766
Liebenfels,20515,3405
Metnitz,20518,1868
Micheldorf,20519,980
Moelbling,20520,1333
St. Georgen am Laengsee,20523,3624
St. Veit an der Glan,20527,12255
Strassburg,20530,1986
Weitensfeld im Gurktal,20531,2015
Frauenstein,20534,3555
Bad Kleinkirchheim,20601,1682
Baldramsdorf,20602,1848
Berg im Drautal,20603,1229
Dellach im Drautal,20604,1576
Grosskirchheim,20605,1321
Flattach,20607,1157
Gmuend in Kaernten,20608,2520
Greifenburg,20609,1737
Heiligenblut am Grossglockner,20610,964
Irschen,20611,1966
Kleblach-Lind,20613,1159
Lendorf,20616,1753
Mallnitz,20618,766
Malta,20619,1902
Millstatt am See,20620,3462
Moertschach,20622,834
Muehldorf,20624,1012
Oberdrauburg,20625,1203
Obervellach,20627,2206
Radenthein,20630,5777
Rangersdorf,20631,1690
Rennweg am Katschberg,20632,1705
Sachsenburg,20633,1366
Seeboden am Millstaetter See,20634,6645
Spittal an der Drau,20635,15270
Stall,20636,1476
Steinfeld,20637,2009
Trebesing,20638,1162
Weissensee,20639,769
Winklern,20640,1202
Krems in Kaernten,20642,1683
Lurnfeld,20643,2661
Reisseck,20644,2091
Afritz am See,20701,1450
Arnoldstein,20702,7042
Arriach,20703,1329
Bad Bleiberg,20705,2203
Feistritz an der Gail,20707,654
Feld am See,20708,1076
Ferndorf,20710,2032
Finkenstein am Faaker See,20711,9620
Fresach,20712,1241
Hohenthurn,20713,897
Noetsch im Gailtal,20719,2332
Paternion,20720,5779
Rosegg,20721,1887
St. Jakob im Rosental,20722,4290
Stockenboi,20723,1590
Treffen am Ossiacher See,20724,4619
Velden am Woerther See,20725,9127
Weissenstein,20726,2946
Wernberg,20727,5613
Bleiburg,20801,4103
Diex,20802,791
Eberndorf,20803,5914
Eisenkappel-Vellach,20804,2194
Feistritz ob Bleiburg,20805,2191
Gallizien,20806,1783
Globasnitz,20807,1594
Griffen,20808,3417
Neuhaus,20810,1016
Ruden,20812,1516
St. Kanzian am Klopeiner See,20813,4578
Sittersdorf,20815,1984
Voelkermarkt,20817,10977
Bad St. Leonhard im Lavanttal,20901,4289
Frantschach-St. Gertraud,20905,2472
Lavamuend,20909,2829
Preitenegg,20911,904
Reichenfels,20912,1730
St. Andrae,20913,9839
St. Georgen im Lavanttal,20914,1908
St. Paul im Lavanttal,20918,3179
Wolfsberg,20923,25133
Albeck,21001,978
Feldkirchen in Kaernten,21002,14434
Glanegg,21003,1778
Gnesau,21004,1027
Himmelberg,21005,2319
Ossiach,21006,897
Reichenau,21007,1717
St. Urban,21008,1559
Steindorf am Ossiacher See,21009,3852
Steuerberg,21010,1601
Krems an der Donau,30101,25271
St. Poelten,30201,57639
Waidhofen an der Ybbs,30301,11126
Wiener Neustadt,30401,47878
Allhartsberg,30501,2234
Amstetten,30502,23902
Ardagger,30503,3590
Aschbach-Markt,30504,3810
Behamberg,30506,3479
Biberbach,30507,2327
Ennsdorf,30508,3238
Ernsthofen,30509,2313
Ertl,30510,1249
Euratsfeld,30511,2751
Ferschnitz,30512,1856
Haag,30514,5753
Haidershofen,30515,3726
Hollenstein an der Ybbs,30516,1692
Kematen an der Ybbs,30517,2755
Neuhofen an der Ybbs,30520,3065
Neustadtl an der Donau,30521,2177
Oed-Oehling,30522,2086
Opponitz,30524,890
St. Georgen am Reith,30526,534
St. Georgen am Ybbsfelde,30527,2863
St. Pantaleon-Erla,30529,2692
St. Peter in der Au,30530,5141
St. Valentin,30531,9374
Seitenstetten,30532,3425
Sonntagberg,30533,3713
Strengberg,30534,2150
Viehdorf,30536,1370
Wallsee-Sindelburg,30538,2188
Weistrach,30539,2348
Winklarn,30541,1848
Wolfsbach,30542,2183
Ybbsitz,30543,3344
Zeillern,30544,1906
Alland,30601,2651
Altenmarkt an der Triesting,30602,2211
Bad Voeslau,30603,12396
Baden,30604,26017
Berndorf,30605,8956
Ebreichsdorf,30607,11860
Enzesfeld-Lindabrunn,30608,4226
Furth an der Triesting,30609,895
Guenselsdorf,30612,1747
Heiligenkreuz,30613,1616
Hernstein,30614,1561
Hirtenberg,30615,2607
Klausen-Leopoldsdorf,30616,1677
Kottingbrunn,30618,7468
Leobersdorf,30620,5259
Mitterndorf an der Fischa,30621,3083
Oberwaltersdorf,30623,5013
Pfaffstaetten,30625,3537
Pottendorf,30626,7491
Pottenstein,30627,2989
Reisenberg,30629,1766
Schoenau an der Triesting,30631,2118
Seibersdorf,30633,1566
Sooss,30635,1044
Tattendorf,30636,1409
Teesdorf,30637,1819
Traiskirchen,30639,19150
Trumau,30641,3757
Weissenbach an der Triesting,30645,1746
Blumau-Neurisshof,30646,1945
Au am Leithaberge,30701,968
Bad Deutsch-Altenburg,30702,1979
Berg,30703,982
Bruck an der Leitha,30704,8395
Enzersdorf an der Fischa,30706,3584
Goettlesbrunn-Arbesthal,30708,1480
Goetzendorf an der Leitha,30709,2234
Hainburg a.d. Donau,30710,6982
Haslau-Maria Ellend,30711,1995
Hoeflein,30712,1219
Hof am Leithaberge,30713,1629
Hundsheim,30715,650
Mannersdorf am Leithagebirge,30716,4219
Petronell-Carnuntum,30718,1280
Prellenkirchen,30719,1671
Rohrau,30721,1667
Scharndorf,30722,1246
Sommerein,30724,2250
Trautmannsdorf an der Leitha,30726,2955
Wolfsthal,30728,1245
Ebergassing,30729,4128
Fischamend,30730,5714
Gramatneusiedl,30731,3702
Himberg,30732,7994
Klein-Neusiedl,30733,974
Lanzendorf,30734,1942
Leopoldsdorf,30735,5448
Maria-Lanzendorf,30736,2235
Moosbrunn,30737,1809
Rauchenwarth,30738,831
Schwadorf,30739,2308
Schwechat,30740,21166
Zwoelfaxing,30741,1689
Aderklaa,30801,226
Andlersdorf,30802,154
Angern an der March,30803,3465
Auersthal,30804,1977
